,Rainfall_mm,Avg_Temperature_C,Soil_Moisture_pct,Seed_Quality_Score,Water_Efficiency_t_per_1000m3,Fertilizer_kg_ha,Disease_Pest_Risk_pct,Market_Price_INR_Tonne,Total_Cost_INR,Yield_Tonnes_Ha,Profit_INR
Rainfall_mm,1.0,0.19849183201452558,0.5089405366115273,-0.018580879736317633,0.05810175696027579,0.024602294750624365,0.6217618552755415,0.000639092995576421,0.013041182238651979,0.03095099355165076,0.10764752863101715
Avg_Temperature_C,0.19849183201452558,1.0,0.08400122632152564,-0.03194274905077438,0.00653365609030859,0.015860660681825848,0.24561313710010096,0.0029511561028659904,0.04103033265731031,0.009996320546703585,0.009042606450980742
Soil_Moisture_pct,0.5089405366115273,0.08400122632152564,1.0,-0.019556265867460638,0.027776318959833977,0.0087818986674462,0.37554718114070745,0.016913505524428826,0.0027414634196757134,0.010999346063015867,0.09128109486827561
Seed_Quality_Score,-0.018580879736317633,-0.03194274905077438,-0.019556265867460638,1.0,-0.012030580294523217,0.0161442158987802,-0.024601502507544764,0.01195969245667654,0.022033391721696268,-0.007208500583094002,0.010437873377670647
Water_Efficiency_t_per_1000m3,0.05810175696027579,0.00653365609030859,0.027776318959833977,-0.012030580294523217,1.0,0.005076524721095648,0.029252918501139483,-0.3725920718658366,0.020402492998900953,0.9125675009144051,0.4894873007614452
Fertilizer_kg_ha,0.024602294750624365,0.015860660681825848,0.0087818986674462,0.0161442158987802,0.005076524721095648,1.0,0.01785136649553274,-0.0009617002733562253,0.14735267951461997,1.771270369608416e-05,-0.07354237085001426
Disease_Pest_Risk_pct,0.6217618552755415,0.24561313710010096,0.37554718114070745,-0.024601502507544764,0.029252918501139483,0.01785136649553274,1.0,-0.0004540995784222528,0.005922402321169296,0.014291575329120742,0.0675831523230642
Market_Price_INR_Tonne,0.000639092995576421,0.0029511561028659904,0.016913505524428826,0.01195969245667654,-0.3725920718658366,-0.0009617002733562253,-0.0004540995784222528,1.0,-0.02229378971072182,-0.3826070074612074,0.2251193901998103
Total_Cost_INR,0.013041182238651979,0.04103033265731031,0.0027414634196757134,0.022033391721696268,0.020402492998900953,0.14735267951461997,0.005922402321169296,-0.02229378971072182,1.0,0.030622289196212706,0.06835598155697745
Yield_Tonnes_Ha,0.03095099355165076,0.009996320546703585,0.010999346063015867,-0.007208500583094002,0.9125675009144051,1.771270369608416e-05,0.014291575329120742,-0.3826070074612074,0.030622289196212706,1.0,0.4884660989684228
Profit_INR,0.10764752863101715,0.009042606450980742,0.09128109486827561,0.010437873377670647,0.4894873007614452,-0.07354237085001426,0.0675831523230642,0.2251193901998103,0.06835598155697745,0.4884660989684228,1.0
